Area,Car casualty rate,Population per square kilometre,Square Kilometres,Total major road dual carriageway,Road density,Traffic Flows - Cars,Traffic Flows - All vehicles,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches
Barking and Dagenham-2019,2254.51608,5950,36.107817,14.6,9.837205057,625,809,64869,1755,5946,848,181
Barnet-2019,1538.3877,4638,86.748314,44.3,9.338510026,1636,2089,143155,4385,8620,526,442
Bexley-2019,1457.99015,4174,60.580668,24.8,9.499730178,1010,1275,106628,4009,9527,1281,1146
Brent-2019,1349.42127,7887,43.232637,12.3,11.60697183,866,1098,92183,4890,8583,1208,2097
Bromley-2019,1447.33041,2227,150.134892,9.4,6.07453729,1249,1555,148462,5586,11999,686,325
Camden-2019,811.024,11727,21.789295,3.7,12.98802921,352,478,41394,2353,3468,299,88
Croydon-2019,1396.39523,4584,86.503635,9.9,9.093259491,1204,1507,141122,5329,11748,480,282
Ealing-2019,1679.31517,6377,55.544305,19,10.95341818,1107,1425,116969,4991,10559,1195,599
Enfield-2019,2076.13079,4200,80.831971,32,8.273953879,1532,2046,120019,3093,11049,2286,260
Greenwich-2019,1628.80024,6119,47.333867,30.5,11.30268947,992,1289,78636,3095,5671,543,279
Hackney-2019,1060.04553,15036,19.049025,4,14.45743286,403,548,41315,2723,3374,230,480
Hammersmith and Fulham-2019,972.22147,11348,16.397453,6.8,13.83141638,434,590,43524,3556,2379,168,103
Haringey-2019,1582.00166,9661,29.598387,4.4,12.19661058,509,670,61834,3443,4878,386,1920
Harrow-2019,1051.12279,5130,50.462744,7.9,9.593215938,767,933,100481,2103,5873,345,359
Havering-2019,1907.13229,2302,112.349666,40.8,6.226987804,1373,1881,115361,3521,12111,1498,286
Hillingdon-2019,1766.22022,2702,115.701137,44.8,6.971409451,2153,2662,141665,4103,16151,1466,570
Hounslow-2019,1638.90352,5026,55.977912,39.1,9.689536116,1459,1815,97535,3970,8310,1322,467
Islington-2019,610.39234,16261,14.856656,2,16.14764453,319,447,35536,2670,2781,230,161
Kensington and Chelsea-2019,986.36384,13241,12.124013,6,17.56019232,424,584,40806,2288,1558,57,93
Kingston upon Thames-2019,952.07513,4847,37.261176,13.9,9.613223158,874,1081,66239,3162,5578,182,197
Lambeth-2019,1223.79874,12608,26.810035,4.9,14.24466622,640,881,63007,4496,4458,154,142
Lewisham-2019,1271.89856,8934,35.149294,5.8,12.88788332,752,987,76392,3502,5354,271,227
Merton-2019,1176.48198,5593,37.624738,10.3,10.3362846,565,724,70113,3567,6052,814,2733
Newham-2019,1713.23067,9931,36.19839,17.4,12.35966572,824,1073,70338,2628,5419,656,1330
Redbridge-2019,1821.62492,5454,56.418997,27.8,9.959411366,1097,1389,105629,2460,6794,346,260
Richmond upon Thames-2019,742.35301,3496,57.406785,5.9,7.310982491,732,913,77021,3849,3926,147,1121
Southwark-2019,1113.44604,11339,28.862033,6.4,13.77588336,619,849,57378,3893,4087,252,1366
Sutton-2019,1318.15516,4782,43.846981,1.7,9.902620205,647,809,87727,3756,8308,467,276
Tower Hamlets-2019,1518.11421,16364,19.781276,16,15.33268127,749,1015,44581,2869,3001,243,100
Waltham Forest-2019,1252.78447,7390,38.807963,13,11.27088273,758,978,78237,2942,6235,514,224
Wandsworth-2019,743.15163,9597,34.26417,9,12.88518006,707,931,78995,5695,5356,448,312
Westminster-2019,1442.69221,12031,21.48698,17.1,16.50767116,627,890,50334,2391,3229,132,583
Barking and Dagenham-2018,2485.87251,5893,36.107817,14.6,9.803971256,612,798,63994,1835,6113,877,177
Barnet-2018,1647.37084,4577,86.748314,44.4,9.328135184,1587,2034,142324,4411,8830,561,495
Bexley-2018,1500.45701,4127,60.580668,24.8,9.49147672,970,1230,105638,4101,9876,1408,1109
Brent-2018,1435.93464,7792,43.232637,12.3,11.58384116,829,1056,92167,4691,8835,1257,2160
Bromley-2018,1383.28461,2216,150.134892,9.4,6.087192576,1187,1485,148873,5700,11952,696,348
Camden-2018,926.68156,11595,21.789295,3.7,12.91000925,351,479,42631,2451,3777,335,117
Croydon-2018,1318.29577,4523,86.503635,9.9,9.089791429,1157,1454,141284,5278,11819,516,303
Ealing-2018,1652.13374,6315,55.544305,19,10.9372149,1094,1411,116874,5163,10732,1189,700
Enfield-2018,2039.72217,4178,80.831971,31.5,8.256633999,1496,2016,119768,3092,11210,1977,250
