Area,Motorcyclist casualty rate,Population per square kilometre,Square Kilometres,Total major road dual carriageway,Road density,Traffic Flows - Cars,Traffic Flows - All vehicles,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches
Barking and Dagenham-2019,352.26814,5950,36.107817,14.6,9.837205057,625,809,64869,1755,5946,848,181
Barnet-2019,426.9089,4638,86.748314,44.3,9.338510026,1636,2089,143155,4385,8620,526,442
Bexley-2019,269.84901,4174,60.580668,24.8,9.499730178,1010,1275,106628,4009,9527,1281,1146
Brent-2019,685.32406,7887,43.232637,12.3,11.60697183,866,1098,92183,4890,8583,1208,2097
Bromley-2019,346.03534,2227,150.134892,9.4,6.07453729,1249,1555,148462,5586,11999,686,325
Camden-2019,844.35375,11727,21.789295,3.7,12.98802921,352,478,41394,2353,3468,299,88
Croydon-2019,506.83975,4584,86.503635,9.9,9.093259491,1204,1507,141122,5329,11748,480,282
Ealing-2019,669.97069,6377,55.544305,19,10.95341818,1107,1425,116969,4991,10559,1195,599
Enfield-2019,407.43692,4200,80.831971,32,8.273953879,1532,2046,120019,3093,11049,2286,260
Greenwich-2019,520.93824,6119,47.333867,30.5,11.30268947,992,1289,78636,3095,5671,543,279
Hackney-2019,643.85316,15036,19.049025,4,14.45743286,403,548,41315,2723,3374,230,480
Hammersmith and Fulham-2019,1274.69037,11348,16.397453,6.8,13.83141638,434,590,43524,3556,2379,168,103
Haringey-2019,815.19615,9661,29.598387,4.4,12.19661058,509,670,61834,3443,4878,386,1920
Harrow-2019,310.55901,5130,50.462744,7.9,9.593215938,767,933,100481,2103,5873,345,359
Havering-2019,219.60917,2302,112.349666,40.8,6.226987804,1373,1881,115361,3521,12111,1498,286
Hillingdon-2019,325.87089,2702,115.701137,44.8,6.971409451,2153,2662,141665,4103,16151,1466,570
Hounslow-2019,486.14666,5026,55.977912,39.1,9.689536116,1459,1815,97535,3970,8310,1322,467
Islington-2019,870.22151,16261,14.856656,2,16.14764453,319,447,35536,2670,2781,230,161
Kensington and Chelsea-2019,1505.1656,13241,12.124013,6,17.56019232,424,584,40806,2288,1558,57,93
Kingston upon Thames-2019,450.68645,4847,37.261176,13.9,9.613223158,874,1081,66239,3162,5578,182,197
Lambeth-2019,960.02257,12608,26.810035,4.9,14.24466622,640,881,63007,4496,4458,154,142
Lewisham-2019,562.38188,8934,35.149294,5.8,12.88788332,752,987,76392,3502,5354,271,227
Merton-2019,610.02769,5593,37.624738,10.3,10.3362846,565,724,70113,3567,6052,814,2733
Newham-2019,362.46864,9931,36.19839,17.4,12.35966572,824,1073,70338,2628,5419,656,1330
Redbridge-2019,248.99909,5454,56.418997,27.8,9.959411366,1097,1389,105629,2460,6794,346,260
Richmond upon Thames-2019,409.05166,3496,57.406785,5.9,7.310982491,732,913,77021,3849,3926,147,1121
Southwark-2019,755.88872,11339,28.862033,6.4,13.77588336,619,849,57378,3893,4087,252,1366
Sutton-2019,407.07733,4782,43.846981,1.7,9.902620205,647,809,87727,3756,8308,467,276
Tower Hamlets-2019,791.39017,16364,19.781276,16,15.33268127,749,1015,44581,2869,3001,243,100
Waltham Forest-2019,393.52596,7390,38.807963,13,11.27088273,758,978,78237,2942,6235,514,224
Wandsworth-2019,928.18122,9597,34.26417,9,12.88518006,707,931,78995,5695,5356,448,312
Westminster-2019,1339.36942,12031,21.48698,17.1,16.50767116,627,890,50334,2391,3229,132,583
Barking and Dagenham-2018,301.88964,5893,36.107817,14.6,9.803971256,612,798,63994,1835,6113,877,177
Barnet-2018,461.56985,4577,86.748314,44.4,9.328135184,1587,2034,142324,4411,8830,561,495
Bexley-2018,295.23817,4127,60.580668,24.8,9.49147672,970,1230,105638,4101,9876,1408,1109
Brent-2018,737.61695,7792,43.232637,12.3,11.58384116,829,1056,92167,4691,8835,1257,2160
Bromley-2018,401.69618,2216,150.134892,9.4,6.087192576,1187,1485,148873,5700,11952,696,348
Camden-2018,831.34396,11595,21.789295,3.7,12.91000925,351,479,42631,2451,3777,335,117
Croydon-2018,433.37676,4523,86.503635,9.9,9.089791429,1157,1454,141284,5278,11819,516,303
Ealing-2018,555.5848,6315,55.544305,19,10.9372149,1094,1411,116874,5163,10732,1189,700
Enfield-2018,338.4561,4178,80.831971,31.5,8.256633999,1496,2016,119768,3092,11210,1977,250
Greenwich-2018,468.22696,6049,47.333867,30.5,11.29212621,961,1256,78565,3203,5830,604,242
Hackney-2018,640.05149,14790,19.049025,4,14.4731817,390,532,41541,2816,3456,204,409
Hammersmith and Fulham-2018,1127.13427,11224,16.397453,6.8,13.89849997,428,585,43441,3769,2527,206,96
Haringey-2018,646.65366,9605,29.598387,4.4,12.1763392,488,644,61835,3353,5043,374,1922
Harrow-2018,255.84751,5061,50.462744,7.9,9.593215938,726,888,100257,2169,5938,412,340
Havering-2018,205.57775,2292,112.349666,40.8,6.228767961,1339,1840,115346,3670,12277,1561,299
Hillingdon-2018,265.72711,2679,115.701137,44.8,6.973138043,2077,2580,140721,4247,16060,1456,545
Hounslow-2018,627.8113,4971,55.977912,39.1,9.675244764,1381,1727,97108,3979,8309,1278,476
Islington-2018,786.1438,16038,14.856656,2,16.14764453,313,441,36281,2899,2817,272,176
Kensington and Chelsea-2018,1216.41261,13139,12.124013,6,17.49420757,413,572,41343,2482,1697,63,98
Kingston upon Thames-2018,387.53063,4820,37.261176,13.9,9.60785564,843,1048,65860,3213,5689,174,202
Lambeth-2018,960.36721,12485,26.810035,4.9,14.19990686,618,855,63777,4592,5014,156,205
Lewisham-2018,461.2303,8829,35.149294,5.8,12.86512327,713,941,77044,3649,5528,294,241
Merton-2018,581.99878,5566,37.624738,10.3,10.35488938,543,699,71904,3513,6282,895,2634
Newham-2018,289.76861,9759,36.19839,17.4,12.36795338,822,1074,70200,2619,5150,657,1512
Redbridge-2018,279.73593,5422,56.418997,27.8,9.957638914,1093,1393,105129,2490,6974,337,265
Richmond upon Thames-2018,467.23276,3474,57.406785,5.9,7.309240537,701,878,77238,3889,3965,157,1182
Southwark-2018,797.46325,11167,28.862033,6.4,13.7724186,597,823,57425,3923,4281,268,1396
Sutton-2018,322.69894,4730,43.846981,1.7,9.888936253,607,762,87433,3811,8258,449,252
Tower Hamlets-2018,805.77895,16036,19.781276,16,15.36806827,734,1003,44115,2860,3049,252,185
Waltham Forest-2018,401.15649,7306,38.807963,13.1,11.27603631,755,979,78270,2983,6514,541,274
Wandsworth-2018,814.76626,9468,34.26417,9,12.82972855,673,888,79416,5830,5486,448,363
Westminster-2018,1402.14003,11839,21.48698,17.1,16.63798263,638,906,49775,2593,3310,123,574
Barking and Dagenham-2017,427.1253,5830,36.107817,14.6,9.828896607,596,776,63081,1964,6136,1003,186
Barnet-2017,564.71972,4512,86.748314,43.8,9.29816342,1555,1991,142346,4640,8921,551,625
Bexley-2017,308.78744,4080,60.580668,24.5,9.649943114,944,1209,105953,4320,10033,1399,1098
Brent-2017,771.79719,7697,43.232637,12.1,11.55377129,790,1007,92459,4793,8961,1235,2248
Bromley-2017,400.73955,2204,150.134892,9.4,6.098515727,1151,1447,149173,5892,11866,635,354
Camden-2017,860.43235,11453,21.789295,3.7,13.13489032,349,477,46140,2685,4402,395,169
Croydon-2017,436.54846,4466,86.503635,9.8,9.108287762,1098,1390,140656,5324,11812,555,330
Ealing-2017,711.91821,6250,55.544305,18.5,10.91561052,1066,1375,117160,5119,10737,1246,725
Enfield-2017,402.7592,4152,80.831971,30.8,8.304882235,1458,1958,120124,3252,11166,1823,270
